OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N0.HOG0007707,-20284.160005,-20284.159993,-20280.852124,-20280.852144,-20424.777094,0.17312,0.17306,0.17737,0.12933,0.1774,0.12933
N0.HOG0007719,-34324.465835,-34324.465835,-34323.146243,-34323.146243,-34502.720649,0.27293,0.27293,0.27696,0.24462,0.27696,0.24462
N0.HOG0007727,-28506.797531,-28506.797531,-28504.27661,-28504.27661,-28832.122439,0.11206,0.11206,0.11446,0.09051,0.11446,0.09051
N0.HOG0007734,-54685.336351,-54685.336351,-54660.267065,-54660.267064,-55352.574872,0.31739,0.31739,0.34884,0.25657,0.34885,0.25657
N0.HOG0007747,-25715.458194,-25715.458194,-25710.055273,-25710.055273,-26023.363217,0.23017,0.23017,0.24143,0.1901,0.24143,0.1901
N0.HOG0007750,-98319.653771,-98428.75803,-102134.490059,-100540.078601,-100306.550821,0.20814,0.23246,0.22499,2.18463,0.21521,0.83385
N0.HOG0007752,-66778.999427,-66778.999426,-66731.658876,-66731.658876,-67818.869968,0.20768,0.20768,0.22619,0.14345,0.22619,0.14345
N0.HOG0007755,-133576.600775,-133576.600776,-133544.371947,-133544.371947,-134541.808613,0.24681,0.24681,0.25579,0.18728,0.25579,0.18728
N0.HOG0007756,-29760.268818,-29760.268818,-29755.759618,-29755.759618,-30052.488469,0.20091,0.20091,0.20732,0.16371,0.20732,0.16372
N0.HOG0007758,-36049.880682,-36049.880682,-36049.590664,-36049.590664,-36116.204318,0.26349,0.26348,0.26493,0.24396,0.26493,0.24396
N0.HOG0007761,-33003.068433,-33003.068433,-33002.744607,-33002.744607,-33207.941432,0.24203,0.24203,0.23986,0.25383,0.23986,0.25383
N0.HOG0007766,-58050.440446,-58050.440498,-58042.048587,-58042.024277,-58143.370397,0.30032,0.30029,0.30388,0.19816,0.30448,0.19886
N0.HOG0007770,-37175.588958,-37175.588958,-37174.959399,-37174.959399,-37305.014349,0.35701,0.35701,0.35132,0.37744,0.35132,0.37744
N0.HOG0007771,-82673.955014,-75233.206877,-75134.547788,-74988.193915,-76035.587053,2.00008,0.22485,0.2919,0.20738,0.27705,0.1288
N0.HOG0007773,-53767.588946,-52511.629256,-53546.22227,-54118.012702,-55166.011847,0.13728,0.15645,0.19824,0.12166,0.13724,0.38016
N0.HOG0007774,-96759.990474,-95724.21709,-97025.651197,-95723.85028,-96877.366645,0.27374,0.22932,0.32012,0.27208,0.23086,0.22698
N0.HOG0007775,-32919.779061,-32919.779061,-32919.773271,-32919.773271,-33054.332488,0.19827,0.19827,0.19812,0.20018,0.19812,0.20019
N0.HOG0007778,-36249.495724,-36249.495724,-36216.346318,-36216.346318,-36478.249411,0.26322,0.26322,0.27904,0.13326,0.27904,0.13326
N0.HOG0007781,-36729.106736,-36729.106736,-36718.589523,-36718.589523,-36892.148829,0.26549,0.26549,0.27402,0.18094,0.27402,0.18094
N0.HOG0007806,-55810.819632,-59406.024942,-66018.680217,-57213.991321,-56506.378229,0.12505,0.5,1.54478,2.04572,0.07395,0.37175
N0.HOG0007814,-14492.912863,-14468.811785,-14424.888698,-14922.410933,-14748.211716,0.2054,0.20916,0.26317,0.08287,0.46139,0.52627
N0.HOG0007817,-19698.218641,-19698.218641,-19684.751284,-19684.751284,-19874.750592,0.26175,0.26174,0.27731,0.16615,0.27731,0.16615
N0.HOG0007821,-13571.191588,-13571.191588,-13567.778871,-13567.778886,-13642.656979,0.23873,0.23873,0.2451,0.16652,0.24512,0.16656
N0.HOG0007824,-36219.118999,-36219.118999,-36219.099174,-36219.099174,-36293.06073,0.30732,0.30732,0.30673,0.31218,0.30673,0.31218
N0.HOG0007827,-52870.810962,-52870.810963,-52855.845146,-52855.845146,-53552.981014,0.19958,0.19958,0.20982,0.15611,0.20982,0.15611
N0.HOG0007829,-45387.115106,-45387.115108,-45318.001358,-45318.001285,-46298.822234,0.12002,0.12002,0.13236,0.05288,0.13237,0.05289
N0.HOG0007831,-30430.517413,-30430.517413,-30419.210112,-30419.210112,-30557.263752,0.26024,0.26024,0.2688,0.1584,0.2688,0.1584
N0.HOG0007847,-89481.377333,-89622.562532,-89839.947445,-96007.055674,-92920.789729,0.14719,0.11942,0.16577,0.11909,0.41273,0.50432
N0.HOG0007848,-33498.166198,-33498.166199,-33487.350612,-33487.350612,-33872.003531,0.20067,0.20067,0.21077,0.14997,0.21077,0.14998
N0.HOG0007849,-55748.490527,-55748.490527,-55720.978966,-55720.978966,-56535.099485,0.27913,0.27913,0.30507,0.22191,0.30507,0.22191
N0.HOG0007850,-27258.496574,-27258.496574,-27234.638802,-27234.638802,-27434.627784,0.27169,0.27169,0.2873,0.14701,0.2873,0.14701
N0.HOG0007868,-33120.313221,-33120.313221,-33118.926087,-33118.926156,-33416.784909,0.20551,0.20552,0.20147,0.22485,0.20142,0.22483
N0.HOG0007874,-20775.842089,-20775.842089,-20773.338283,-20773.338283,-20818.518782,0.35658,0.35658,0.34618,0.42543,0.34618,0.42543
N0.HOG0007877,-7156.948647,-7156.948647,-7152.887756,-7152.887756,-7229.400217,0.31684,0.31684,0.34718,0.24103,0.34718,0.24103
N0.HOG0007878,-10650.075881,-10650.075881,-10637.798912,-10637.798912,-10708.77502,0.30051,0.30051,0.32028,0.13653,0.32028,0.13653
N0.HOG0007879,-38207.701626,-38207.701625,-38205.559802,-38205.559803,-38342.540504,0.34025,0.34026,0.34603,0.29706,0.34603,0.29707
N0.HOG0007880,-21056.978373,-21056.978373,-21032.67736,-21032.67736,-21388.171384,0.23795,0.23795,0.26765,0.15663,0.26765,0.15663
N0.HOG0007881,-26432.779407,-26432.779407,-26430.244918,-26430.244918,-26664.954741,0.25376,0.25376,0.24487,0.28256,0.24487,0.28256
N0.HOG0007883,-16330.625216,-16330.625216,-16330.623724,-16330.623724,-16502.875434,0.24575,0.24575,0.2455,0.24659,0.2455,0.24659
N0.HOG0007884,-19959.645399,-19959.645399,-19959.485409,-19959.485409,-19994.914867,0.33201,0.33201,0.32999,0.35346,0.32999,0.35347
N0.HOG0007885,-39795.610017,-39795.610017,-39794.476815,-39794.476822,-40070.924658,0.29765,0.29765,0.30299,0.27748,0.30302,0.2775
N0.HOG0007887,-24249.265157,-24249.265157,-24245.255581,-24245.255581,-24358.153758,0.23575,0.23575,0.24082,0.17304,0.24082,0.17304
N0.HOG0007893,-49203.651172,-49226.040558,-49175.11085,-49156.010844,-53114.775072,0.17707,0.19235,0.1814,0.12461,0.204,0.1208
N0.HOG0007894,-27664.019111,-27664.01911,-27659.916035,-27659.916035,-27985.082637,0.17569,0.17568,0.1813,0.14471,0.1813,0.14472
N0.HOG0007895,-29909.508109,-29904.953801,-33791.051543,-30198.114234,-32135.686949,0.16098,0.15328,2.2283,0.09929,0.11427,0.08116
N0.HOG0007896,-29504.072419,-29607.167836,-30858.455468,-29682.991091,-29876.723557,0.10558,0.09939,0.1715,0.03158,0.09825,0.02654
N0.HOG0007910,-8494.141736,-8596.872099,-8256.017986,-8426.986195,-8699.891692,0.02141,0.04235,0.04941,0.02911,0.05144,0.02813
N0.HOG0007911,-87898.335855,-87898.335855,-87891.72766,-87891.72766,-88269.409855,0.41718,0.41718,0.4301,0.37382,0.4301,0.37382
N0.HOG0007961,-179444.910201,-179444.9102,-179348.723754,-179348.723755,-180536.113562,0.30607,0.30607,0.32415,0.2027,0.32416,0.2027
N0.HOG0007963,-97325.483959,-91177.35896,-101325.180207,-90914.847361,-91774.473716,0.25894,0.20392,1.41235,1.65085,0.24997,0.04704
N0.HOG0007968,-75638.494326,-75638.494327,-75580.931585,-75580.931585,-77059.980725,0.19684,0.19684,0.21644,0.14149,0.21644,0.14149
N0.HOG0007970,-25481.154821,-25481.154817,-25440.468979,-25440.46898,-25753.045636,0.20073,0.20071,0.21628,0.08379,0.21627,0.08379
N0.HOG0007971,-21555.604359,-21555.604359,-21537.25355,-21537.25355,-21726.550222,0.12941,0.12941,0.13475,0.04615,0.13475,0.04615
N0.HOG0007973,-37411.208972,-37411.208977,-37401.788879,-37401.788881,-38364.197295,0.09166,0.09166,0.09659,0.07083,0.09659,0.07083
N0.HOG0007994,-54525.241206,-54525.241999,-54525.233842,-54525.233845,-55770.715552,0.13669,0.13663,0.13652,0.13725,0.13648,0.13725
N0.HOG0007995,-13803.735517,-11545.113948,-11550.314502,-11543.502641,-12058.737829,2,0.0858,0.08693,0.09297,0.07624,0.09516
N0.HOG0008023,-32046.780714,-32046.686638,-32032.260765,-32031.446111,-32715.917602,0.10091,0.10121,0.10891,0.06664,0.10829,0.06651
N0.HOG0008025,-51330.775112,-45646.324243,-45700.07293,-45642.76831,-46109.495812,2.00052,0.1972,0.2211,0.1645,0.19084,0.17174
N0.HOG0008027,-85726.956737,-85726.956742,-85622.365777,-85622.365777,-86802.859297,0.22606,0.22606,0.24831,0.12759,0.24829,0.12757
N0.HOG0008046,-26082.985887,-26082.985887,-26082.966442,-26082.966442,-26282.365055,0.2604,0.2604,0.25953,0.26331,0.25953,0.26331
N0.HOG0008051,-98898.396801,-98898.396801,-98866.393621,-98866.393621,-99497.324276,0.21428,0.21427,0.22068,0.14064,0.22068,0.14064
N0.HOG0008055,-61935.959893,-61951.04925,-67912.299007,-62208.105752,-64196.149621,0.15886,0.17491,1.4974,0.11826,0.15997,0.16841
N0.HOG0008059,-97368.16965,-97210.678071,-100181.45571,-97216.351129,-98233.717705,0.33181,0.24247,0.34912,0.41294,0.23514,0.27045
N0.HOG0008060,-123728.993441,-123728.99344,-123675.216114,-123675.216111,-126004.075102,0.14101,0.14101,0.14987,0.1013,0.14987,0.10129
N0.HOG0008061,-43999.118356,-43999.118366,-43997.809961,-43997.809697,-44788.187148,0.09913,0.09913,0.10103,0.08993,0.10103,0.08994
N0.HOG0008065,-25016.586255,-25016.586186,-24961.36904,-24961.369041,-25273.476684,0.21754,0.21751,0.2374,0.07147,0.2374,0.07147
N0.HOG0008067,-14684.004159,-14672.750656,-15229.193366,-14647.486578,-15061.55666,0.16201,0.15143,0.16139,2.67847,0.17777,0.06324
N0.HOG0008075,-17565.951197,-17565.952997,-17534.543899,-17534.54506,-17890.013172,0.1042,0.10415,0.11329,0.03118,0.1133,0.03115
N0.HOG0008114,-105844.471989,-105844.488468,-105665.760339,-105665.840292,-109919.966353,0.14843,0.14826,0.18344,0.10029,0.18379,0.10108
N0.HOG0008123,-84329.693025,-84329.693025,-84308.278043,-84308.278043,-85231.543678,0.33607,0.33607,0.36356,0.28987,0.36356,0.28987
N0.HOG0008125,-64666.022018,-64666.022023,-64628.693337,-64628.693348,-65258.68787,0.26204,0.26203,0.27977,0.18053,0.27975,0.18053
N0.HOG0008126,-58315.796456,-58315.79559,-58262.375288,-58262.370537,-59014.114273,0.19853,0.19856,0.21255,0.11417,0.21264,0.11406
N0.HOG0008131,-104198.702468,-104198.702938,-104119.363138,-104119.365589,-105222.953016,0.19554,0.19558,0.20674,0.11093,0.20677,0.11147
N0.HOG0008135,-20402.03623,-20402.03623,-20379.033157,-20379.033157,-20676.279962,0.28328,0.28328,0.32001,0.19066,0.32,0.19066
N0.HOG0008139,-25511.176034,-23435.355712,-27968.6566,-24039.691627,-27111.185529,0.02209,0.02182,1.91374,0.03626,0.01252,1e-04
N0.HOG0008152,-53804.056166,-53804.056182,-53793.588618,-53793.588643,-54021.654417,0.30181,0.30184,0.31046,0.2248,0.31048,0.22504
N0.HOG0008153,-54172.332316,-54172.332316,-54171.922089,-54171.922089,-54493.374856,0.36615,0.36614,0.36992,0.35506,0.36992,0.35507
N0.HOG0008161,-26671.626507,-26671.626507,-26668.116374,-26668.116374,-26972.920333,0.34193,0.34193,0.36583,0.31101,0.36583,0.311
N0.HOG0008165,-37277.616096,-37277.616102,-37275.87805,-37275.87699,-37344.898309,0.3469,0.34693,0.35104,0.28925,0.35078,0.28945
N0.HOG0008166,-69811.080866,-69811.080719,-69791.229704,-69791.22871,-70791.351957,0.30492,0.30483,0.33497,0.26477,0.33475,0.26448
N0.HOG0008167,-101477.046061,-101477.046061,-101461.531283,-101461.531283,-102083.660091,0.44655,0.44655,0.47741,0.39902,0.47741,0.39902
N0.HOG0008174,-79532.484626,-79532.484626,-79524.324598,-79524.324598,-79951.891583,0.38332,0.38332,0.39776,0.33837,0.39776,0.33837
N0.HOG0008175,-106500.460786,-92701.797265,-92897.980674,-93194.358321,-94383.186252,2,0.16541,0.18092,0.1107,0.12043,0.09331
N0.HOG0008184,-83024.219024,-83024.219033,-82983.285933,-82983.286416,-84031.156941,0.10329,0.10328,0.10755,0.0559,0.10757,0.05585
N0.HOG0008186,-165173.484466,-165173.484467,-165124.052681,-165124.052681,-166045.13172,0.3363,0.3363,0.35307,0.25544,0.35307,0.25544
N0.HOG0008189,-26245.645816,-23902.536862,-23179.582426,-22575.086422,-22270.158875,2,0.50014,1e-04,5.92293,1e-04,1.14063
N0.HOG0008196,-41271.612644,-41271.612579,-41262.015207,-41262.015227,-41833.615058,0.16528,0.16528,0.1726,0.13036,0.17258,0.13035
N0.HOG0008199,-19649.232026,-19543.345033,-22722.223262,-22094.754493,-22449.726388,0.00544,0.00327,2.18477,0.00166,0.54866,0.50249
N0.HOG0008206,-41994.310974,-42364.193434,-49766.514892,-42517.46845,-43134.044192,0.07705,0.10046,1.76878,0.04046,0.06333,0.03529
N0.HOG0008217,-21104.1046,-21104.104597,-21094.447456,-21094.447456,-21639.406312,0.08997,0.08997,0.09627,0.06188,0.09627,0.06188
N0.HOG0008218,-29637.218716,-29637.218716,-29637.210192,-29637.210192,-30163.163194,0.16686,0.16686,0.1672,0.16581,0.1672,0.16581
N0.HOG0008228,-33594.108643,-33594.108643,-33590.505601,-33590.505601,-33765.191969,0.19494,0.19494,0.19869,0.15337,0.19869,0.15337
N0.HOG0008237,-23619.211294,-23619.211294,-23616.060041,-23616.060041,-23695.458532,0.24996,0.24996,0.24116,0.30283,0.24116,0.30283
N0.HOG0008242,-95427.463347,-95285.99926,-95520.159504,-95273.676797,-98037.244115,0.10365,0.09539,0.106,0.10268,0.10523,0.04736
N0.HOG0008255,-34910.221252,-34484.243015,-34496.571596,-34472.584121,-37818.81963,0.17029,0.14812,0.14254,0.08797,0.15052,0.09272
N0.HOG0008256,-30243.2546,-29101.841145,-28979.109877,-31376.380129,-30022.14422,0.1213,0.0823,0.09544,0.05502,0.48136,0.50451
N0.HOG0008282,-39063.349361,-39063.349361,-39054.637495,-39054.637495,-39488.339887,0.26108,0.26108,0.27485,0.21686,0.27485,0.21686
N0.HOG0008283,-26419.602965,-26419.602965,-26363.369099,-26363.369099,-26757.138043,0.21341,0.21341,0.23598,0.08776,0.23598,0.08776
N0.HOG0008284,-51687.033517,-51687.033519,-51687.033293,-51687.033291,-52114.2362,0.18696,0.18696,0.18693,0.18716,0.18693,0.18715
N0.HOG0008288,-43862.118962,-43862.118962,-43833.35178,-43833.351781,-44297.657285,0.1881,0.1881,0.19739,0.11052,0.19739,0.11052
N0.HOG0008293,-39721.752607,-39721.752566,-39717.085829,-39717.086121,-41656.078626,0.08346,0.08347,0.08913,0.0746,0.08913,0.07465
N0.HOG0008297,-137531.872116,-137268.043716,-137170.729074,-137171.662412,-137833.647543,0.5106,0.34745,0.37653,0.3272,0.43431,0.31392
N0.HOG0008300,-45902.689205,-45280.993781,-45260.812465,-45263.027473,-46142.679036,0.27326,0.23489,0.27126,0.18445,0.2635,0.19779
N0.HOG0008321,-14405.773507,-14405.773507,-14404.700501,-14404.700501,-14583.535514,0.20618,0.20619,0.19945,0.22702,0.19945,0.22701
N0.HOG0008337,-42068.325921,-42068.325921,-42060.58194,-42060.58194,-42385.831419,0.38407,0.38406,0.41081,0.33649,0.41081,0.3365
N0.HOG0008338,-70788.078587,-70788.078587,-70785.190674,-70785.190674,-71112.027186,0.31681,0.31681,0.32227,0.28558,0.32227,0.28558
N0.HOG0008366,-127828.646448,-127828.647193,-127744.545226,-127744.479807,-129017.583581,0.35338,0.3533,0.39119,0.26471,0.38919,0.2652
N0.HOG0008372,-130519.28673,-130516.239746,-130526.263975,-130509.326076,-130959.554932,0.35982,0.36013,0.34964,0.38875,0.35585,0.40399
N0.HOG0008376,-107389.86916,-107389.869198,-107342.574142,-107342.574134,-108679.110094,0.28298,0.28294,0.30671,0.22433,0.3067,0.22434
N0.HOG0008381,-76351.668065,-76351.668065,-76311.764929,-76311.764927,-77418.849393,0.28883,0.28883,0.31945,0.23072,0.31944,0.23072
N0.HOG0008383,-46341.139667,-46341.139667,-46267.743802,-46267.743807,-46948.936998,0.17454,0.17454,0.18933,0.07665,0.18932,0.07666
N0.HOG0008384,-95538.910595,-95538.910595,-95517.540238,-95517.540238,-96838.690635,0.27193,0.27193,0.29311,0.23538,0.29311,0.23538
N0.HOG0008386,-45347.592085,-45347.59207,-45283.350742,-45283.351552,-46003.96795,0.13585,0.13587,0.14561,0.05407,0.14564,0.05411
N0.HOG0008392,-52465.902884,-52465.902884,-52460.364019,-52460.364019,-53101.98095,0.26488,0.26488,0.27657,0.23785,0.27657,0.23785
N0.HOG0008393,-24215.019473,-24215.019473,-24213.907331,-24213.907331,-24545.680113,0.24723,0.24723,0.25511,0.23135,0.25511,0.23135
N0.HOG0008435,-14190.729334,-14190.729334,-14190.608439,-14190.608439,-14220.747488,0.17088,0.17088,0.1715,0.15304,0.1715,0.15304
N0.HOG0008440,-116323.106015,-116323.106255,-116200.488783,-116200.489123,-118380.326917,0.18229,0.18224,0.20187,0.11564,0.20188,0.11568
N0.HOG0008444,-29801.389402,-29806.325549,-30398.056357,-29827.087431,-32425.213646,0.13076,0.12115,0.17099,0.39638,0.11884,0.10343
N0.HOG0008450,-8495.996301,-8495.996301,-8495.962523,-8495.962523,-8708.20561,0.0963,0.0963,0.09535,0.09904,0.09535,0.09903
N0.HOG0008452,-9894.041092,-9832.985547,-9934.788747,-10761.376678,-10812.64905,0.08179,0.07833,0.20332,0.07585,0.47602,0.84726
N0.HOG0008478,-125970.024076,-113730.52467,-113823.336369,-113695.444287,-115424.349252,2,0.20551,0.20686,0.13039,0.22077,0.17175
N0.HOG0008481,-29385.622504,-29385.622504,-29385.622071,-29385.622072,-29731.715834,0.22051,0.22051,0.22041,0.22082,0.22042,0.22082
N0.HOG0008484,-93689.194711,-93689.194711,-93687.096342,-93687.096342,-94522.209395,0.22088,0.22088,0.22375,0.2058,0.22375,0.2058
N0.HOG0008487,-90575.115813,-90575.115813,-90502.008104,-90502.008105,-91723.000854,0.25876,0.25876,0.28397,0.17799,0.28396,0.17799
N0.HOG0008521,-92338.961661,-92338.961661,-92299.259214,-92299.259214,-93086.360443,0.33084,0.33084,0.35697,0.25584,0.35697,0.25584
N0.HOG0008533,-13868.449435,-13868.449435,-13865.598571,-13865.598571,-13908.983428,0.24963,0.24963,0.24066,0.32467,0.24066,0.32467
N0.HOG0008537,-14608.553853,-14399.0349,-14373.826585,-14325.003709,-14358.466812,0.4476,0.21341,0.25851,2.06528,0.25456,0.21979
N0.HOG0008545,-106573.586015,-106595.94155,-109088.381334,-110959.641926,-107757.417924,0.31505,0.30514,0.3564,0.40763,0.53502,0.57845
N0.HOG0008565,-18070.884098,-18075.320339,-18042.391824,-18042.625386,-18228.666169,0.14106,0.13399,0.14813,0.02292,0.14707,0.02235
N0.HOG0008566,-48209.002807,-48209.002807,-48176.819888,-48176.819887,-48474.539283,0.34616,0.34616,0.37451,0.22047,0.37451,0.22047
N0.HOG0008567,-18140.448574,-18140.448575,-18129.370503,-18129.370459,-18328.347943,0.1579,0.15789,0.16544,0.08705,0.16542,0.08704
N0.HOG0008571,-44247.884368,-44247.884368,-44212.806456,-44212.806456,-44505.516864,0.27511,0.27511,0.29161,0.14496,0.2916,0.14496
N0.HOG0008573,-88727.94949,-88727.94949,-88710.133434,-88710.133434,-90239.134084,0.22145,0.22145,0.23451,0.19051,0.23451,0.1905
N0.HOG0008590,-93963.309199,-93963.309199,-93948.619112,-93948.619111,-94395.876258,0.40719,0.40719,0.42841,0.34768,0.42841,0.34768
N0.HOG0008629,-64307.480227,-64307.480227,-64277.196205,-64277.196205,-64550.004211,0.36865,0.36865,0.38871,0.23947,0.38871,0.23947
N0.HOG0008631,-69108.642362,-69108.642354,-69077.770893,-69077.770868,-69750.009376,0.23249,0.23248,0.24445,0.16146,0.24442,0.16143
N0.HOG0008632,-43545.475372,-43545.475372,-43532.334045,-43532.334045,-43643.642767,0.35734,0.35734,0.36788,0.21861,0.36788,0.21861
N0.HOG0008634,-45038.382474,-45038.321062,-44993.492687,-44993.626799,-46044.562238,0.20439,0.20347,0.2331,0.14313,0.23189,0.14265
N0.HOG0008639,-35713.951146,-35709.517662,-35697.851158,-35689.806082,-36538.82198,0.15808,0.16606,0.16628,0.15008,0.18054,0.14769
N0.HOG0008643,-42882.678546,-42886.721688,-42824.257002,-43068.054294,-43815.921301,0.28028,0.29563,0.31655,0.16185,0.41074,0.36731
N0.HOG0008648,-40968.499748,-40968.499748,-40934.879431,-40934.879431,-41514.274379,0.20035,0.20035,0.22001,0.12433,0.22001,0.12433
N0.HOG0008652,-122207.011132,-122207.011113,-122144.99351,-122144.99342,-123111.39383,0.20728,0.20727,0.21606,0.12535,0.21605,0.12542
N0.HOG0008653,-81561.714155,-81612.657813,-81447.936809,-81525.949593,-82373.256546,0.15854,0.13322,0.1435,0.06808,0.13624,0.06515
N0.HOG0008654,-156072.964028,-156072.964028,-156032.538272,-156032.538272,-157414.899658,0.30021,0.30021,0.31479,0.24165,0.31479,0.24165
N0.HOG0008658,-40098.647857,-40098.647857,-40085.678624,-40085.678624,-40332.441781,0.27162,0.27162,0.28328,0.1921,0.28328,0.1921
N0.HOG0008659,-57813.631665,-57813.631665,-57782.062698,-57782.062698,-58446.723825,0.26548,0.26548,0.28596,0.19314,0.28596,0.19314
N0.HOG0008662,-16294.909682,-16294.90966,-16286.778602,-16286.778628,-16533.226781,0.15199,0.152,0.16067,0.10036,0.16066,0.10037
N0.HOG0008666,-38913.110166,-38913.003839,-38904.349228,-38904.343835,-39266.774614,0.26587,0.26538,0.2779,0.21483,0.27704,0.21485
N0.HOG0008670,-79504.682485,-79504.682485,-79501.610651,-79501.610651,-80572.289551,0.19731,0.19731,0.20144,0.18239,0.20144,0.18239
N0.HOG0008676,-109042.857764,-109042.857764,-109027.789777,-109027.789777,-109581.468071,0.48597,0.48597,0.51737,0.43575,0.51737,0.43575
N0.HOG0008677,-69564.14066,-69564.140659,-69548.608624,-69548.608624,-69869.308194,0.42576,0.42576,0.45107,0.35025,0.45107,0.35025
N0.HOG0008696,-160171.931027,-160105.473137,-160280.293674,-160058.739549,-160995.285209,0.24617,0.22239,0.23534,0.14755,0.24366,0.15221
N0.HOG0008706,-23735.191736,-23735.191736,-23694.391206,-23694.391209,-23957.480488,0.23289,0.23289,0.2519,0.09242,0.25191,0.09246
N0.HOG0008708,-26634.072546,-26634.072546,-26632.290359,-26632.290359,-26899.112236,0.2148,0.2148,0.21988,0.19006,0.21987,0.19006
N0.HOG0008709,-46497.029563,-46497.029562,-46491.316922,-46491.316918,-46966.65787,0.21299,0.21299,0.21944,0.17954,0.21945,0.17953
N0.HOG0008719,-40608.502172,-40608.502172,-40586.577853,-40586.577853,-40802.306495,0.26501,0.26501,0.27576,0.14842,0.27576,0.14842
N0.HOG0008730,-37878.492835,-37878.492835,-37878.022645,-37878.022645,-37955.354885,0.35549,0.35548,0.35783,0.32829,0.35783,0.32829
N0.HOG0008731,-48252.670024,-48252.670024,-48206.168966,-48206.168966,-48405.255407,0.32274,0.32274,0.33537,0.11544,0.33538,0.11544
N0.HOG0008732,-132876.780405,-132876.780406,-132841.16863,-132841.16863,-133318.706018,0.34403,0.34403,0.35458,0.24056,0.35458,0.24056
N0.HOG0008762,-47567.827876,-47567.827876,-47556.49412,-47556.49412,-47778.383927,0.25301,0.25301,0.25978,0.17265,0.25978,0.17265
N0.HOG0008763,-48044.236648,-48044.236649,-47992.313271,-47992.313201,-48597.045103,0.1709,0.1709,0.18155,0.08014,0.18155,0.08008
N0.HOG0008772,-116845.529118,-116845.52976,-116818.174841,-116818.170268,-117169.033938,0.40064,0.40071,0.41703,0.29632,0.41671,0.29623
N0.HOG0008800,-17785.584755,-17785.584754,-17779.370744,-17779.370743,-18065.31919,0.18914,0.18914,0.20104,0.1479,0.20103,0.1479
N0.HOG0008803,-45876.42802,-45876.428025,-45847.626226,-45847.626341,-46649.316166,0.20763,0.20762,0.22571,0.15304,0.22568,0.15306
N0.HOG0008804,-79462.842012,-79463.297307,-79534.208788,-79443.024779,-80623.352147,0.09244,0.09215,0.10153,0.0672,0.09572,0.06242
N0.HOG0008810,-53642.044004,-44816.394343,-46516.247914,-44642.034129,-50337.484944,2.09523,0.07625,0.08669,1.32742,0.09037,0.05863
N0.HOG0008815,-67342.828141,-67342.828179,-67289.008391,-67289.015138,-68617.276539,0.08025,0.08024,0.08558,0.03765,0.08542,0.03759
N0.HOG0008816,-42324.455075,-42324.455075,-42302.971021,-42302.971021,-42826.173025,0.15489,0.15489,0.1621,0.09632,0.1621,0.09632
N0.HOG0008818,-47376.534173,-47376.534173,-47371.58949,-47371.589489,-47642.059357,0.23302,0.23302,0.23784,0.18964,0.23785,0.18965
N0.HOG0008819,-25223.13194,-25223.13194,-25207.326876,-25207.326876,-25630.433571,0.22284,0.22284,0.24478,0.16535,0.24478,0.16535
N0.HOG0008820,-42979.061801,-42979.061802,-42951.75143,-42951.751432,-43376.791824,0.16749,0.16749,0.17524,0.09011,0.17525,0.09011
N0.HOG0008821,-157459.57157,-157466.253776,-160234.195172,-158401.109887,-159888.231261,0.17255,0.17719,0.20213,1.582,0.16613,0.38388
N0.HOG0008838,-63398.961145,-63533.604519,-67470.990827,-63380.681846,-65844.781369,0.0969,0.1085,0.1146,2.11968,0.1062,0.07613
N0.HOG0008839,-59215.233726,-59215.233726,-59203.897823,-59203.897818,-59770.387123,0.31576,0.31575,0.33611,0.27189,0.33611,0.2719
N0.HOG0008842,-36951.591577,-36951.591577,-36941.07835,-36941.078351,-37641.003563,0.19668,0.19668,0.21073,0.16206,0.21073,0.16206
N0.HOG0008863,-46071.384642,-46071.384642,-46055.652507,-46055.652507,-46344.723902,0.27541,0.27541,0.28649,0.19374,0.28649,0.19374
N0.HOG0008864,-65844.790086,-65844.790086,-65833.659809,-65833.659811,-66054.617512,0.30252,0.30252,0.30936,0.22144,0.30936,0.22146
N0.HOG0008865,-82577.061382,-82577.057096,-82534.958447,-82534.950002,-83213.310638,0.23273,0.23289,0.24406,0.14818,0.2439,0.14855
N0.HOG0008882,-22198.79774,-21412.663203,-22706.219079,-24274.89355,-24793.15604,0.02767,0.04219,0.04354,1.58755,0.53777,0.59899
N0.HOG0008891,-37291.33557,-30150.335073,-35735.616274,-33588.949108,-30915.839985,2.00038,0.01598,1.41807,1e-04,0.40529,0.42917
N0.HOG0008892,-40515.665764,-40515.665767,-40474.337949,-40474.336932,-40950.707835,0.21236,0.21238,0.22917,0.11532,0.22905,0.1152
N0.HOG0008894,-50652.187401,-49899.723562,-50797.651129,-50916.323512,-53059.551428,0.30458,0.26413,0.34715,1.70476,0.15328,0.18151
N0.HOG0008896,-83468.215211,-83468.21521,-83399.426967,-83399.426967,-83982.327219,0.26482,0.26482,0.28033,0.14129,0.28032,0.14128
N0.HOG0008898,-31204.28485,-31204.284837,-31167.685504,-31167.685498,-31529.73547,0.21974,0.21973,0.23875,0.11163,0.23876,0.11163
N0.HOG0008902,-77469.88986,-77469.897654,-77393.251877,-77393.248175,-78263.746028,0.26095,0.26105,0.285,0.15879,0.28464,0.15896
